respid,WEIGHT,party,age_cat,educ,urbanicity,state,solar_general,solar_local,wind_local,solar_farm_nearby,main_concern
10409,1.9915,Republican,30-49,High school or less,Suburban,Oklahoma,Somewhat oppose,Somewhat oppose,Somewhat favor,No,Changes how the area looks
10410,0.4063,Republican,65+,College graduate or more,Suburban,Texas,Strongly favor,Strongly favor,Somewhat oppose,No,Uses too much land
10411,0.7461,Democrat,18-29,College graduate or more,Suburban,Texas,Strongly favor,Strongly favor,Somewhat favor,No,Uses too much land
10412,3.1217,Republican,18-29,High school or less,Suburban,Kansas,Strongly oppose,Somewhat oppose,Somewhat oppose,No,Worried about property values
10413,0.7663,Independent,30-49,College graduate or more,Suburban,Texas,Strongly favor,Somewhat oppose,Strongly favor,Yes,Uses too much land
10414,1.2745,Democrat,18-29,Some college,Urban,Louisiana,Somewhat favor,Strongly favor,Somewhat favor,No,Changes how the area looks
10415,0.7091,Independent,65+,Some college,Rural,Texas,Strongly favor,Somewhat oppose,Somewhat oppose,No,Uses too much land
10416,1.5853,Republican,30-49,High school or less,Urban,Oklahoma,Strongly favor,Somewhat oppose,Somewhat oppose,No,Changes how the area looks
10417,1.1395,Democrat,50-64,High school or less,Rural,Texas,Somewhat favor,Strongly favor,Strongly favor,No,Changes how the area looks
10418,0.5722,Democrat,50-64,High school or less,Rural,Texas,Strongly favor,Strongly favor,Strongly oppose,Yes,No concerns
10419,1.9366,Independent,18-29,High school or less,Rural,Texas,Strongly oppose,Somewhat favor,Somewhat oppose,No,No concerns
10420,0.5218,Independent,30-49,College graduate or more,Suburban,Missouri,Somewhat favor,Strongly favor,Strongly favor,Yes,No concerns
10421,0.9712,Independent,18-29,College graduate or more,Suburban,Texas,Somewhat oppose,Strongly favor,Strongly favor,No,No concerns
10422,0.4583,Independent,50-64,College graduate or more,Suburban,Missouri,Somewhat favor,Somewhat favor,Somewhat favor,Yes,Changes how the area looks
10423,1.4916,Republican,30-49,High school or less,Urban,Louisiana,Somewhat favor,Somewhat favor,Somewhat oppose,No,Uses too much land
10424,0.675,Democrat,30-49,College graduate or more,Rural,Texas,Somewhat favor,Strongly favor,Somewhat favor,Yes,Uses too much land
10425,1.2476,Independent,50-64,High school or less,Rural,Oklahoma,Somewhat favor,Somewhat oppose,99,No,Uses too much land
10426,0.336,Democrat,65+,College graduate or more,Suburban,Kansas,Strongly favor,Strongly favor,Somewhat oppose,No,No concerns
10427,0.8357,Democrat,50-64,Some college,Urban,Texas,Somewhat favor,Somewhat oppose,Somewhat favor,No,Uses too much land
10428,0.4652,Democrat,65+,Some college,Suburban,Texas,Strongly favor,Strongly favor,Strongly favor,No,No concerns
10429,0.8864,Republican,50-64,High school or less,Suburban,Oklahoma,Strongly favor,Strongly oppose,Somewhat favor,No,Uses too much land
10430,1.675,Independent,30-49,High school or less,Urban,Texas,Strongly favor,Strongly favor,Somewhat favor,No,Worried about property values
10431,0.8893,Democrat,18-29,College graduate or more,Suburban,Arkansas,Strongly favor,Strongly favor,Somewhat favor,No,No concerns
10432,1.1483,Independent,65+,High school or less,Suburban,Kansas,Strongly favor,Somewhat oppose,Somewhat favor,No,Uses too much land
10433,0.5844,Republican,50-64,College graduate or more,Urban,Missouri,Strongly oppose,Strongly oppose,Somewhat oppose,No,Uses too much land
10434,0.7572,Democrat,30-49,Some college,Urban,Missouri,Strongly favor,Strongly favor,Strongly favor,No,No concerns
10435,0.9588,Republican,30-49,Some college,Suburban,Louisiana,Strongly favor,Somewhat oppose,Somewhat oppose,No,Doubts it is reliable
10436,0.4326,Democrat,50-64,Some college,Suburban,Missouri,Strongly favor,Somewhat favor,Somewhat favor,No,No concerns
10437,1.0988,Democrat,30-49,High school or less,Rural,Texas,Strongly favor,Strongly favor,Strongly oppose,No,No concerns
10438,0.8218,Republican,50-64,Some college,Urban,Texas,Somewhat oppose,Strongly oppose,Strongly favor,No,Uses too much land
10439,1.8129,Republican,30-49,High school or less,Rural,Missouri,Strongly oppose,99,Strongly favor,No,No concerns
10440,1.1678,Independent,50-64,High school or less,Suburban,Oklahoma,Somewhat favor,Somewhat favor,Somewhat favor,Yes,No concerns
10441,0.8105,Republican,50-64,Some college,Rural,Arkansas,Strongly favor,Somewhat oppose,Somewhat oppose,Yes,Something else
10442,1.3113,Democrat,30-49,High school or less,Urban,Arkansas,Somewhat favor,Somewhat favor,Strongly favor,No,No concerns
10443,1.2294,Independent,65+,High school or less,Rural,Oklahoma,Somewhat oppose,Somewhat favor,Somewhat oppose,Yes,No concerns
10444,0.517,Republican,65+,College graduate or more,Suburban,Texas,Somewhat favor,Somewhat favor,Somewhat oppose,No,No concerns
10445,1.2506,Republican,30-49,High school or less,Suburban,Texas,Somewhat oppose,Somewhat oppose,Somewhat oppose,Yes,Worried about property values
10446,1.7459,Republican,30-49,High school or less,Suburban,Louisiana,Somewhat favor,Strongly oppose,Somewhat oppose,No,Doubts it is reliable
10447,1.4282,Independent,18-29,Some college,Urban,Texas,Strongly favor,Somewhat favor,Somewhat favor,Yes,No concerns
10448,0.6949,Republican,50-64,Some college,Suburban,Arkansas,Strongly oppose,Somewhat oppose,Somewhat oppose,No,Something else
10449,0.4935,Republican,50-64,College graduate or more,Urban,Texas,Somewhat oppose,Somewhat oppose,Strongly favor,No,Doubts it is reliable
10450,1.0304,Independent,50-64,High school or less,Suburban,Missouri,Somewhat favor,Strongly favor,Somewhat oppose,No,No concerns
10451,1.495,Independent,30-49,High school or less,Suburban,Louisiana,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
10452,0.5521,Independent,65+,Some college,Suburban,Texas,Strongly favor,Strongly favor,Somewhat favor,No,No concerns
10453,0.5161,Democrat,50-64,Some college,Suburban,Kansas,Strongly favor,Strongly favor,Strongly favor,No,No concerns
10454,1.3479,Democrat,30-49,High school or less,Urban,Texas,Somewhat favor,Strongly favor,Somewhat favor,Yes,No concerns
10455,0.7033,Independent,50-64,Some college,Suburban,Arkansas,Strongly favor,Somewhat favor,Somewhat favor,No,No concerns
10456,0.4694,Democrat,50-64,College graduate or more,Suburban,Missouri,Somewhat favor,Strongly favor,Strongly favor,No,Worried about property values
10457,0.8135,Democrat,18-29,College graduate or more,Urban,Missouri,Strongly favor,Strongly favor,Strongly favor,Yes,No concerns
10458,1.0097,Independent,65+,High school or less,Rural,Louisiana,Somewhat oppose,Somewhat oppose,Strongly oppose,No,Changes how the area looks
10459,1.2306,Independent,50-64,High school or less,Urban,Louisiana,Strongly favor,Strongly favor,Strongly oppose,Yes,No concerns
10460,1.5535,Democrat,18-29,Some college,Urban,Arkansas,Somewhat favor,Somewhat favor,Strongly favor,No,No concerns
10461,0.5082,Independent,65+,Some college,Urban,Texas,Somewhat favor,Strongly favor,Somewhat favor,No,Changes how the area looks
10462,0.3856,Republican,65+,College graduate or more,Suburban,Missouri,Strongly oppose,Strongly oppose,99,No,Worried about property values
10463,1.0044,Democrat,18-29,Some college,Suburban,Louisiana,Strongly favor,Somewhat favor,Somewhat favor,No,No concerns
10464,1.6252,Republican,30-49,High school or less,Suburban,Missouri,Strongly oppose,Strongly oppose,Somewhat favor,Yes,Uses too much land
10465,0.5822,Democrat,50-64,Some college,Suburban,Oklahoma,Strongly favor,Somewhat favor,Somewhat favor,No,Changes how the area looks
10466,0.4772,Independent,65+,Some college,Suburban,Kansas,Strongly favor,Somewhat oppose,Strongly favor,No,Something else
10467,0.705,Republican,30-49,College graduate or more,Urban,Oklahoma,Strongly favor,Somewhat favor,Somewhat oppose,No,No concerns
10468,1.9978,Republican,30-49,High school or less,Urban,Texas,Somewhat favor,Somewhat favor,Strongly oppose,No,No concerns
10469,0.7831,Republican,30-49,College graduate or more,Suburban,Texas,Somewhat oppose,Strongly favor,Strongly oppose,No,No concerns
10470,1.2817,Republican,30-49,High school or less,Suburban,Oklahoma,Strongly favor,Somewhat favor,Somewhat oppose,No,No concerns
10471,0.7771,Democrat,65+,High school or less,Rural,Texas,Strongly favor,Strongly oppose,Strongly favor,No,Changes how the area looks
10472,1.8126,Independent,18-29,High school or less,Rural,Oklahoma,Somewhat favor,Somewhat oppose,Strongly oppose,No,Changes how the area looks
10473,0.9494,Democrat,50-64,High school or less,Suburban,Louisiana,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
10474,3.5725,Republican,18-29,High school or less,Urban,Kansas,Strongly oppose,Strongly oppose,Strongly oppose,Yes,Worried about property values
10475,0.7157,Democrat,30-49,College graduate or more,Rural,Arkansas,Strongly oppose,Strongly favor,99,No,No concerns
10476,1.382,Independent,30-49,Some college,Rural,Texas,Strongly favor,Somewhat favor,Somewhat favor,No,Uses too much land
10477,1.3113,Independent,18-29,Some college,Suburban,Louisiana,Strongly favor,Somewhat favor,Somewhat favor,No,No concerns
10478,1.6392,Democrat,18-29,Some college,Rural,Louisiana,Somewhat favor,Somewhat favor,Somewhat oppose,No,Changes how the area looks
10479,1.3215,Republican,18-29,Some college,Suburban,Texas,Strongly favor,Somewhat oppose,Strongly oppose,No,Uses too much land
10480,1.0788,Independent,18-29,College graduate or more,Urban,Texas,Strongly favor,Somewhat favor,Strongly favor,No,Something else
10481,0.9565,Independent,65+,High school or less,Urban,Arkansas,Strongly favor,Strongly favor,Somewhat oppose,No,No concerns
10482,0.4235,Democrat,50-64,College graduate or more,Rural,Oklahoma,Strongly favor,Strongly favor,Strongly oppose,Yes,Uses too much land
10483,0.759,Democrat,65+,High school or less,Urban,Oklahoma,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
10484,0.5743,Republican,50-64,College graduate or more,Suburban,Texas,Somewhat oppose,Strongly oppose,Strongly oppose,No,Doubts it is reliable
10485,1.155,Republican,30-49,Some college,Rural,Louisiana,Somewhat oppose,Somewhat oppose,Strongly oppose,No,Changes how the area looks
10486,1.0588,Independent,65+,High school or less,Rural,Kansas,Strongly oppose,Somewhat oppose,Somewhat favor,Yes,Changes how the area looks
10487,1.2901,Independent,30-49,High school or less,Suburban,Texas,Somewhat favor,Somewhat favor,Somewhat favor,No,Worried about property values
10488,0.4625,Democrat,50-64,Some college,Suburban,Arkansas,Somewhat favor,Strongly favor,Somewhat favor,No,No concerns
10489,0.53,Republican,30-49,College graduate or more,Suburban,Oklahoma,Strongly favor,Somewhat oppose,Somewhat favor,Yes,Uses too much land
10490,0.7727,Democrat,30-49,College graduate or more,Rural,Missouri,Strongly favor,Somewhat favor,Somewhat favor,No,Something else
10491,0.4441,Independent,65+,Some college,Urban,Oklahoma,Somewhat favor,Strongly oppose,Somewhat oppose,No,Something else
10492,0.4555,Republican,65+,College graduate or more,Urban,Texas,Somewhat oppose,Strongly oppose,Somewhat favor,No,Doubts it is reliable
10493,0.3514,Republican,65+,College graduate or more,Suburban,Missouri,Somewhat oppose,Somewhat favor,Somewhat oppose,No,Worried about property values
10494,1.4222,Republican,30-49,High school or less,Suburban,Oklahoma,Strongly oppose,Somewhat oppose,Somewhat oppose,Yes,Uses too much land
10495,0.7206,Independent,50-64,High school or less,Urban,Texas,Strongly favor,Somewhat favor,Strongly favor,Yes,No concerns
10496,0.6486,Democrat,30-49,College graduate or more,Rural,Oklahoma,Somewhat favor,Somewhat favor,Somewhat oppose,No,No concerns
10497,0.9979,Republican,65+,High school or less,Suburban,Texas,Somewhat oppose,Somewhat oppose,Somewhat oppose,No,Changes how the area looks
10498,1.6086,Republican,30-49,High school or less,Suburban,Arkansas,Strongly favor,Somewhat favor,Somewhat oppose,No,No concerns
10499,0.7095,Democrat,18-29,College graduate or more,Urban,Kansas,Strongly favor,Somewhat favor,Somewhat favor,No,No concerns
10500,2.2125,Independent,30-49,High school or less,Urban,Texas,Strongly favor,Strongly favor,Somewhat oppose,No,Changes how the area looks
10501,0.4586,Democrat,50-64,Some college,Suburban,Louisiana,Somewhat favor,Strongly favor,Strongly favor,Yes,Something else
10502,1.8437,Democrat,18-29,High school or less,Suburban,Louisiana,Somewhat favor,Somewhat favor,Somewhat favor,Yes,Uses too much land
10503,0.8146,Republican,65+,High school or less,Urban,Louisiana,Somewhat favor,Strongly oppose,Somewhat oppose,Yes,Worried about property values
10504,0.3881,Democrat,50-64,College graduate or more,Urban,Louisiana,Strongly favor,Strongly favor,Strongly favor,No,No concerns
10505,1.2016,Republican,30-49,Some college,Urban,Texas,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
10506,1.0418,Independent,50-64,High school or less,Suburban,Texas,Strongly favor,Somewhat favor,Somewhat favor,No,No concerns
10507,1.2603,Democrat,30-49,High school or less,Urban,Oklahoma,Somewhat oppose,Strongly favor,Strongly oppose,No,No concerns
10508,1.1727,Democrat,30-49,High school or less,Suburban,Oklahoma,Somewhat favor,Somewhat favor,Strongly favor,No,No concerns
10509,1.0404,Republican,50-64,High school or less,Rural,Texas,Strongly oppose,Strongly oppose,Somewhat favor,Yes,Changes how the area looks
10510,1.9143,Independent,18-29,High school or less,Suburban,Texas,Strongly favor,Somewhat oppose,Somewhat oppose,No,Worried about property values
10511,3.2288,Republican,18-29,High school or less,Rural,Oklahoma,Strongly favor,Somewhat oppose,Somewhat oppose,No,Worried about property values
10512,0.6676,Republican,50-64,Some college,Urban,Oklahoma,Strongly oppose,Strongly favor,Strongly favor,Yes,Something else
10513,1.379,Independent,18-29,College graduate or more,Urban,Louisiana,Somewhat favor,Somewhat favor,Strongly favor,Yes,No concerns
10514,1.0597,Independent,30-49,High school or less,Suburban,Texas,Strongly favor,Somewhat favor,Strongly favor,Yes,Something else
10515,0.4958,Republican,50-64,College graduate or more,Suburban,Texas,Strongly favor,Somewhat favor,Strongly oppose,No,No concerns
10516,0.5748,Independent,30-49,College graduate or more,Urban,Oklahoma,Somewhat favor,Strongly favor,Somewhat favor,Yes,No concerns
10517,0.3491,Democrat,65+,College graduate or more,Rural,Texas,Strongly favor,Somewhat oppose,Strongly oppose,No,Uses too much land
10518,0.8512,Independent,50-64,Some college,Rural,Texas,Strongly favor,Somewhat oppose,Strongly favor,No,Uses too much land
10519,1.9865,Independent,18-29,High school or less,Suburban,Kansas,Somewhat favor,Strongly oppose,Somewhat oppose,No,Worried about property values
10520,1.2795,Republican,30-49,Some college,Rural,Texas,Strongly favor,Strongly favor,Somewhat oppose,No,No concerns
10521,1.4293,Democrat,18-29,Some college,Suburban,Arkansas,Strongly oppose,Somewhat favor,Somewhat favor,No,No concerns
10522,1.3538,Republican,30-49,High school or less,Urban,Texas,Somewhat favor,99,Somewhat oppose,No,Something else
10523,0.5501,Democrat,65+,College graduate or more,Urban,Texas,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
10524,0.7101,Republican,65+,Some college,Urban,Arkansas,Somewhat oppose,Somewhat oppose,Somewhat oppose,No,Worried about property values
10525,1.1388,Independent,30-49,High school or less,Suburban,Missouri,Strongly favor,Somewhat favor,Somewhat favor,No,No concerns
10526,1.2841,Independent,30-49,High school or less,Suburban,Texas,Strongly favor,Strongly oppose,Somewhat oppose,Yes,Changes how the area looks
10527,0.7016,Democrat,50-64,High school or less,Suburban,Texas,Strongly favor,Strongly favor,99,No,No concerns
10528,0.4816,Democrat,50-64,Some college,Urban,Missouri,Strongly favor,Somewhat favor,Somewhat oppose,No,No concerns
10529,1.2329,Republican,30-49,Some college,Suburban,Texas,Somewhat favor,Somewhat oppose,Strongly oppose,Yes,Something else
10530,0.8662,Democrat,30-49,Some college,Suburban,Texas,Strongly favor,Somewhat favor,Somewhat favor,No,No concerns
10531,0.7381,Democrat,30-49,Some college,Suburban,Texas,Somewhat favor,Strongly favor,Strongly favor,No,No concerns
10532,0.8257,Republican,30-49,College graduate or more,Suburban,Texas,Somewhat oppose,Somewhat oppose,Somewhat oppose,No,Uses too much land
10533,1.3071,Republican,65+,High school or less,Rural,Arkansas,Somewhat favor,Somewhat oppose,Strongly oppose,No,Doubts it is reliable
10534,0.8595,Republican,30-49,Some college,Suburban,Louisiana,Somewhat favor,Strongly oppose,Strongly oppose,Yes,Worried about property values
10535,1.0868,Independent,50-64,High school or less,Suburban,Oklahoma,Strongly favor,Somewhat favor,Strongly favor,No,Uses too much land
10536,1.7323,Democrat,30-49,High school or less,Rural,Missouri,Strongly favor,Somewhat favor,Somewhat favor,No,No concerns
10537,0.9036,Independent,50-64,High school or less,Suburban,Kansas,Somewhat oppose,Strongly oppose,99,No,Uses too much land
10538,0.4718,Independent,50-64,College graduate or more,Suburban,Texas,Somewhat oppose,Strongly oppose,Somewhat favor,No,Uses too much land
10539,0.7762,Republican,50-64,Some college,Urban,Louisiana,Somewhat favor,Strongly favor,Somewhat favor,No,Uses too much land
10540,0.5586,Republican,30-49,College graduate or more,Suburban,Texas,Somewhat favor,Strongly favor,Strongly favor,No,No concerns
10541,0.9036,Independent,65+,High school or less,Rural,Louisiana,Somewhat favor,Somewhat favor,Somewhat oppose,Yes,No concerns
10542,0.9056,Democrat,50-64,High school or less,Suburban,Texas,Strongly favor,Somewhat favor,Strongly favor,Yes,No concerns
10543,1.1164,Independent,18-29,Some college,Suburban,Texas,Somewhat favor,Somewhat oppose,Strongly oppose,No,Changes how the area looks
10544,0.918,Democrat,18-29,College graduate or more,Suburban,Missouri,Somewhat favor,Somewhat favor,Somewhat favor,Yes,Uses too much land
10545,1.2034,Republican,30-49,High school or less,Urban,Texas,Strongly oppose,Strongly oppose,Somewhat oppose,No,Doubts it is reliable
10546,1.0663,Independent,18-29,College graduate or more,Urban,Kansas,Somewhat favor,Strongly favor,Strongly favor,No,No concerns
10547,2.4861,Republican,18-29,High school or less,Rural,Arkansas,Strongly favor,Somewhat favor,Strongly favor,No,Changes how the area looks
10548,0.3746,Democrat,65+,College graduate or more,Suburban,Arkansas,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
10549,1.585,Republican,30-49,High school or less,Urban,Arkansas,Somewhat favor,Somewhat favor,Strongly oppose,No,Something else
10550,0.4778,Democrat,30-49,College graduate or more,Suburban,Louisiana,Strongly favor,Somewhat favor,Strongly favor,No,Uses too much land
10551,0.4492,Independent,50-64,College graduate or more,Suburban,Louisiana,Somewhat favor,Somewhat favor,99,No,No concerns
10552,1.6023,Republican,30-49,High school or less,Suburban,Texas,Somewhat favor,Somewhat oppose,Strongly oppose,No,Worried about property values
10553,0.3555,Republican,50-64,College graduate or more,Suburban,Arkansas,Somewhat oppose,Somewhat favor,Strongly oppose,No,Changes how the area looks
10554,0.547,Democrat,50-64,College graduate or more,Suburban,Arkansas,Strongly favor,Strongly favor,Strongly favor,No,No concerns
10555,0.7003,Independent,65+,High school or less,Suburban,Louisiana,Somewhat oppose,Somewhat favor,Somewhat favor,No,Uses too much land
10556,0.6935,Democrat,30-49,Some college,Suburban,Texas,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
10557,0.9557,Democrat,30-49,High school or less,Suburban,Louisiana,Strongly favor,Somewhat favor,Somewhat favor,Yes,No concerns
10558,0.3887,Independent,50-64,College graduate or more,Suburban,Texas,Somewhat oppose,Somewhat oppose,Somewhat favor,No,Changes how the area looks
10559,1.3913,Democrat,18-29,Some college,Suburban,Louisiana,Strongly favor,Somewhat favor,Somewhat oppose,No,Something else
10560,1.8343,Democrat,18-29,High school or less,Suburban,Texas,Somewhat favor,Strongly favor,Somewhat favor,No,No concerns
10561,0.7248,Independent,18-29,College graduate or more,Suburban,Louisiana,Somewhat favor,Strongly favor,Strongly favor,No,No concerns
10562,0.7828,Republican,50-64,Some college,Suburban,Oklahoma,Somewhat favor,Strongly oppose,Strongly oppose,No,Something else
10563,1.0557,Republican,30-49,Some college,Suburban,Texas,Somewhat favor,Strongly favor,Somewhat oppose,No,No concerns
10564,0.7388,Democrat,30-49,Some college,Suburban,Oklahoma,Somewhat favor,Strongly favor,Somewhat favor,No,Something else
10565,1.4595,Republican,18-29,Some college,Suburban,Missouri,Somewhat favor,Strongly favor,Strongly oppose,No,Uses too much land
10566,1.0914,Republican,30-49,Some college,Suburban,Texas,Somewhat favor,Strongly oppose,Somewhat oppose,No,Changes how the area looks
10567,3.0121,Independent,18-29,High school or less,Suburban,Texas,Somewhat oppose,Somewhat favor,Somewhat favor,No,No concerns
10568,0.6849,Democrat,30-49,Some college,Suburban,Texas,Somewhat favor,Strongly favor,Somewhat favor,Yes,No concerns
10569,0.338,Republican,65+,College graduate or more,Suburban,Texas,Somewhat favor,Somewhat oppose,Somewhat oppose,No,Doubts it is reliable
10570,1.0784,Republican,30-49,Some college,Suburban,Texas,Strongly favor,Strongly oppose,Somewhat oppose,Yes,Worried about property values
10571,0.6628,Democrat,50-64,Some college,Urban,Oklahoma,Strongly favor,Strongly favor,Somewhat favor,Yes,No concerns
10572,0.6794,Democrat,65+,Some college,Urban,Kansas,Strongly favor,Somewhat favor,99,No,No concerns
10573,0.6556,Democrat,65+,High school or less,Suburban,Missouri,Strongly favor,Strongly oppose,Somewhat favor,No,Uses too much land
10574,1.0079,Independent,18-29,College graduate or more,Urban,Texas,Strongly favor,Strongly favor,Strongly favor,No,Uses too much land
10575,0.5453,Republican,65+,College graduate or more,Suburban,Missouri,Somewhat oppose,Strongly oppose,Somewhat favor,No,Changes how the area looks
10576,1.1534,Democrat,18-29,Some college,Urban,Missouri,Somewhat favor,Somewhat favor,Strongly favor,No,No concerns
10577,0.4193,Republican,50-64,College graduate or more,Suburban,Texas,Strongly favor,Somewhat favor,Somewhat oppose,No,Uses too much land
10578,0.7387,Republican,30-49,College graduate or more,Suburban,Texas,Strongly favor,Strongly oppose,Somewhat oppose,No,Worried about property values
10579,0.6108,Independent,65+,Some college,Urban,Texas,Somewhat favor,Somewhat favor,Strongly favor,No,No concerns
10580,0.4082,Independent,65+,College graduate or more,Suburban,Texas,Strongly favor,Strongly oppose,Somewhat favor,No,Changes how the area looks
10581,2.1297,Republican,18-29,High school or less,Suburban,Louisiana,Strongly oppose,99,Somewhat oppose,No,No concerns
10582,1.185,Independent,30-49,High school or less,Urban,Arkansas,Strongly favor,Somewhat favor,Strongly favor,Yes,Uses too much land
10583,1.6592,Republican,18-29,Some college,Urban,Kansas,Somewhat oppose,Somewhat oppose,Strongly oppose,No,Changes how the area looks
10584,0.3827,Republican,65+,College graduate or more,Urban,Texas,Strongly favor,Strongly favor,Strongly oppose,No,Something else
10585,0.6045,Independent,65+,High school or less,Suburban,Texas,Strongly favor,Somewhat favor,99,Yes,Changes how the area looks
10586,0.7303,Democrat,30-49,College graduate or more,Urban,Oklahoma,Somewhat favor,Strongly favor,Strongly favor,No,No concerns
10587,1.1939,Republican,50-64,High school or less,Suburban,Kansas,Somewhat oppose,Somewhat oppose,Somewhat favor,No,Changes how the area looks
10588,0.7031,Independent,30-49,College graduate or more,Rural,Texas,Strongly favor,Strongly oppose,Somewhat oppose,Yes,Worried about property values
10589,0.4064,Democrat,30-49,College graduate or more,Suburban,Texas,Somewhat favor,99,Strongly favor,No,No concerns
10590,0.6431,Independent,50-64,Some college,Suburban,Texas,Somewhat oppose,Somewhat favor,Somewhat favor,No,No concerns
10591,0.4379,Republican,50-64,College graduate or more,Suburban,Texas,Somewhat favor,Somewhat favor,Somewhat oppose,Yes,No concerns
10592,0.65,Republican,65+,Some college,Urban,Arkansas,Somewhat oppose,Strongly favor,Strongly oppose,No,Uses too much land
10593,1.4331,Independent,50-64,High school or less,Rural,Texas,Strongly favor,Strongly oppose,Strongly favor,No,Changes how the area looks
10594,0.8496,Republican,50-64,Some college,Rural,Missouri,Strongly favor,Somewhat favor,Strongly oppose,Yes,No concerns
10595,0.5644,Republican,65+,Some college,Urban,Texas,Somewhat oppose,Somewhat oppose,Somewhat oppose,No,Worried about property values
10596,0.9293,Republican,30-49,College graduate or more,Urban,Texas,Strongly favor,Somewhat oppose,Somewhat favor,No,Uses too much land
10597,1.0106,Republican,50-64,High school or less,Suburban,Louisiana,Somewhat oppose,Somewhat oppose,Somewhat oppose,Yes,Uses too much land
10598,1.2223,Democrat,30-49,High school or less,Suburban,Texas,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
10599,0.9292,Republican,65+,High school or less,Suburban,Texas,Somewhat oppose,Strongly favor,99,Yes,No concerns
10600,1.2557,Republican,50-64,High school or less,Rural,Texas,Strongly oppose,Somewhat oppose,Somewhat oppose,No,Uses too much land
10601,0.9633,Democrat,18-29,College graduate or more,Rural,Kansas,Strongly favor,Somewhat favor,Strongly oppose,No,No concerns
10602,0.5524,Republican,50-64,College graduate or more,Suburban,Texas,Somewhat favor,Somewhat oppose,Somewhat oppose,Yes,Uses too much land
10603,0.8304,Democrat,18-29,College graduate or more,Suburban,Missouri,Strongly favor,Strongly favor,Somewhat favor,No,No concerns
10604,0.6281,Democrat,50-64,Some college,Urban,Oklahoma,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
10605,0.5088,Republican,65+,Some college,Suburban,Arkansas,Strongly favor,Somewhat favor,Somewhat favor,No,Something else
10606,0.4611,Republican,50-64,College graduate or more,Suburban,Texas,Somewhat favor,Somewhat oppose,Somewhat oppose,No,Changes how the area looks
10607,2.1738,Republican,30-49,High school or less,Rural,Oklahoma,Strongly favor,Somewhat oppose,Somewhat oppose,No,Something else
10608,0.9291,Independent,18-29,College graduate or more,Urban,Oklahoma,Strongly favor,Strongly favor,Somewhat favor,No,No concerns
10609,0.4018,Independent,50-64,College graduate or more,Suburban,Kansas,Somewhat oppose,Strongly favor,Somewhat favor,No,No concerns
10610,1.0302,Democrat,30-49,High school or less,Suburban,Oklahoma,Somewhat favor,Strongly oppose,Strongly oppose,No,Worried about property values
10611,0.8248,Republican,50-64,High school or less,Urban,Missouri,Somewhat oppose,Strongly favor,Somewhat oppose,No,No concerns
10612,1.0199,Republican,30-49,Some college,Suburban,Arkansas,Strongly favor,Somewhat favor,Strongly oppose,No,No concerns
10613,0.5937,Republican,65+,Some college,Urban,Missouri,Strongly favor,Somewhat oppose,Somewhat oppose,Yes,Uses too much land
10614,0.8036,Democrat,65+,High school or less,Suburban,Missouri,Strongly favor,Somewhat favor,Somewhat favor,No,Something else
10615,2.1613,Independent,18-29,High school or less,Suburban,Oklahoma,Somewhat favor,Strongly favor,Somewhat oppose,No,Changes how the area looks
10616,0.664,Independent,30-49,College graduate or more,Suburban,Oklahoma,Strongly favor,Somewhat favor,Strongly favor,No,Uses too much land
10617,1.9435,Republican,30-49,High school or less,Rural,Texas,Somewhat oppose,Strongly favor,Somewhat oppose,No,Changes how the area looks
10618,0.4491,Republican,30-49,College graduate or more,Suburban,Missouri,Strongly favor,99,Strongly favor,No,No concerns
10619,0.8543,Independent,65+,High school or less,Urban,Kansas,Strongly oppose,Somewhat oppose,Somewhat oppose,No,Doubts it is reliable
10620,1.0002,Democrat,30-49,Some college,Urban,Texas,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
10621,2.24,Independent,18-29,High school or less,Urban,Texas,Somewhat favor,Strongly oppose,Strongly favor,No,Uses too much land
10622,0.6412,Republican,30-49,College graduate or more,Suburban,Texas,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
10623,0.788,Independent,65+,High school or less,Suburban,Missouri,Strongly favor,Somewhat favor,99,No,No concerns
10624,0.4361,Independent,30-49,College graduate or more,Urban,Texas,Somewhat favor,Somewhat oppose,Strongly favor,No,Worried about property values
10625,0.6569,Independent,65+,Some college,Urban,Oklahoma,Strongly favor,Somewhat favor,Somewhat favor,No,Something else
10626,1.154,Independent,65+,High school or less,Rural,Texas,Somewhat favor,Somewhat oppose,Strongly oppose,No,Worried about property values
10627,0.9423,Democrat,65+,High school or less,Suburban,Kansas,Somewhat oppose,Somewhat oppose,Strongly favor,No,Uses too much land
10628,0.3341,Democrat,65+,College graduate or more,Suburban,Kansas,Somewhat favor,Strongly favor,Somewhat favor,Yes,No concerns
10629,0.9357,Independent,50-64,High school or less,Urban,Missouri,Strongly oppose,Somewhat oppose,Somewhat favor,No,Worried about property values
